ts,uid,id.orig_p,trans_id,rtt,query,answers,TTLs
2020-09-02 14:33:23.796334982,CMLZbu3FDJYoZwa27k,1210,15630,0.010542,portal.fb.com,"star.c10r.facebook.com,157.240.30.18","174.000000,59.000000"
2020-09-02 14:33:48.334928036,CgRCjV3z8dKmNVIvhb,43814,35052,0.010908,i.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,2.000000"
2020-09-02 14:33:49.757675886,CgFfWv3PUApAZUINNf,51631,55600,0.010734,scontent-prg1-1.cdninstagram.com,157.240.30.63,59.000000
2020-09-02 14:33:49.863610983,CIkFu02IznJPZcp1El,65449,39507,0.010405,graph.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,30.000000"
2020-09-02 14:33:51.540623903,Cylq6E2mc9lVLjs8ua,63247,41491,0.009332,edge-mqtt.facebook.com,"mqtt.c10r.facebook.com,157.240.30.11","1236.000000,37.000000"
2020-09-02 14:33:51.979031086,CcJ1R84gTag5YbPvmh,60483,61558,0.010756,i.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3596.000000,59.000000"
2020-09-02 14:33:52.058527946,CoTskn4P32ZeBcjb7f,49536,42583,0.000854,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.27.18","3350.000000,3381.000000,31.000000"
2020-09-02 14:33:52.049025059,CtwcCm4h5zYhY4vROl,60375,59134,0.010682,connect.facebook.net,"scontent.xx.fbcdn.net,157.240.30.27","2936.000000,59.000000"
2020-09-02 14:34:15.567967892,CFeM3q2CSFxSzx1908,65248,48700,0.012800,mqtt-mini.facebook.com,"mqtt-mini.c10r.facebook.com,157.240.30.34","3418.000000,59.000000"
2020-09-02 14:34:25.302814007,CAriMv2MrASpSgbtDk,48726,34128,0.000828,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.20.15","3506.000000,3295.000000,27.000000"
2020-09-02 14:34:26.054291964,ClJ9164cerYJLoOBQj,64295,56511,0.011035,scontent-prg1-1.xx.fbcdn.net,157.240.30.27,59.000000
2020-09-02 14:34:28.137527943,CYnQRI2pSm4D01ZH25,57926,37013,0.010719,lookaside.facebook.com,"scontent.xx.fbcdn.net,157.240.30.27","3577.000000,59.000000"
2020-09-02 14:34:28.190057993,C8tV0Q17oDpr8cZP49,1355,47623,0.009021,static.xx.fbcdn.net,"scontent.xx.fbcdn.net,157.240.30.27","2861.000000,27.000000"
2020-09-02 14:34:28.256763935,Cz9d6j2Tevs3csiPu7,38026,37503,0.010651,www.facebook.com,"star-mini.c10r.facebook.com,157.240.30.35","3541.000000,59.000000"
2020-09-02 14:34:59.058437109,CjzSMl2SOuqjA4vSze,46758,35228,0.000836,b-api.facebook.com,"star-mini.c10r.facebook.com,157.240.20.35","63.000000,58.000000"
2020-09-02 14:34:59.059129953,CTNOvA1O3vEpzqER43,40210,40908,0.000831,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.27.18","3261.000000,3189.000000,56.000000"
2020-09-02 14:34:59.058777094,C2Vq83BPySxGB9vW3,54244,47401,0.010975,api.facebook.com,"star.c10r.facebook.com,157.240.30.18","2663.000000,59.000000"
2020-09-02 14:34:59.076047897,CD3dEk3tUDjMh2sm3b,54118,36743,0.010891,b-graph.facebook.com,"star-mini.c10r.facebook.com,157.240.30.35","125.000000,59.000000"
2020-09-02 14:34:59.076273918,CytuelzJJ7As5zy2i,43078,39665,0.011419,edge-mqtt.facebook.com,"mqtt.c10r.facebook.com,157.240.30.11","1776.000000,11.000000"
2020-09-02 14:35:12.197844028,C2u9c31vZCCiKM7cja,63543,34775,0.000946,api.twitter.com,"tpop-api.twitter.com,104.244.42.194,104.244.42.2,104.244.42.130,104.244.42.66","1606.000000,1606.000000,1606.000000,1606.000000,1606.000000"
2020-09-02 14:35:12.441023111,ComMwk2CF8LbFpX1Jk,1045,51659,0.011053,pbs.twimg.com,"cs196.wac.edgecastcdn.net,cs2-wac.apr-8315.edgecastdns.net,cs2-wac-eu.8315.ecdns.net,cs672.wac.edgecastcdn.net,192.229.233.50","234.000000,3283.000000,284.000000,284.000000,3599.000000"
2020-09-02 14:35:12.441093922,CYCnBU1nXPQbqBmPm2,44760,37428,0.011003,video.twimg.com,"cs296.wpc.edgecastcdn.net,cs2-wpc.apr-8315.edgecastdns.net,cs2-wpc-eu.8315.ecdns.net,cs189.wpc.edgecastcdn.net,68.232.34.217","184.000000,3244.000000,219.000000,30.000000,3599.000000"
2020-09-02 14:35:14.646605968,Ck7LrV13uSp2ylfl3i,1231,54030,0.000897,na.glbtls.t.co,35.201.69.248,378.000000
2020-09-02 14:35:18.749583960,CBgDoe1QknbrJ4zDw1,50111,64573,0.000992,api-45-0-0.twitter.com,69.195.168.128,21503.000000
2020-09-02 14:35:24.051503897,CHjVLs1aaHARFzWsZd,39818,50678,0.000859,api-24-0-0.twitter.com,69.195.179.128,21344.000000
2020-09-02 14:35:29.266397953,CyqqXf1DDID0q39Mw9,38688,54003,0.000843,api-36-0-0.twitter.com,69.195.174.128,20796.000000
2020-09-02 14:35:30.982091904,Cb2vPeEkAhBHuDuec,40857,36184,0.017172,myphonenumbers-pa.googleapis.com,172.217.23.202,299.000000
2020-09-02 14:35:34.457000971,CPVwMc2uXl7nV28iVh,55350,61837,0.009177,api-3-0-0.twitter.com,209.237.194.128,21113.000000
2020-09-02 14:36:16.837373018,CTgAFu4EI2YcxRRa9e,1245,43643,0.000798,www.msftconnecttest.com,"v4ncsi.msedge.net,ncsi.4-c-0003.c-msedge.net,4-c-0003.c-msedge.net,13.107.4.52","2659.000000,10.000000,10.000000,10.000000"
2020-09-02 14:36:16.822995901,CqkkLC1SWV1xjJL8gd,58203,36857,0.030712,prod.registrar.skype.com,"production.skype-registar.akadns.net,40.122.172.160","2508.000000,29.000000"
2020-09-02 14:36:16.907227039,CEYPPs4HGxw1HfvSq9,35079,56442,0.045389,azscus1-client-s.gateway.messenger.live.com,"azscus1-client-s.msnmessenger.msn.com.akadns.net,ip.azscus1-client-s.msnmessenger.msn.com.akadns.net,40.74.219.49","145.000000,299.000000,299.000000"
2020-09-02 14:36:17.667321920,Cr5KXC4gQfrP4EZg1i,44247,41336,0.000894,config.edge.skype.com,"config.edge.skype.com.trafficmanager.net,l-0014.config.skype.com,config-edge-skype.l-0014.l-msedge.net,l-0014.l-msedge.net,13.107.42.23","647.000000,58.000000,1183.000000,165.000000,165.000000"
2020-09-02 14:36:19.381794930,CkNTuk3JJFO8ol8p78,52938,55258,0.000858,in.appcenter.ms,"in2-prod-east-us2-23fa330.trafficmanager.net,in2-gw2-04-ede6f06e.eastus2.cloudapp.azure.com,20.44.78.251","42.000000,28.000000,8.000000"
2020-09-02 14:36:19.394401073,CvEBv92hCoYi8CcUI2,58832,50259,0.009231,global.glbtls.t.co,34.102.215.127,235.000000
2020-09-02 14:36:19.585791111,CIbPUf3T8XKS1PfX6c,59504,42722,0.000840,probe.twitter.com,104.244.42.195,21193.000000
2020-09-02 14:36:19.661870956,CkwE1g1mXtaKiboaIl,57204,61398,0.000827,static.asm.skype.com,"static-asm-skype.trafficmanager.net,weu1-authgw.cloudapp.net,13.94.251.244","1520.000000,50.000000,4.000000"
2020-09-02 14:36:19.712456942,CJO0Kw27zLwmsas9El,42473,53294,0.000847,consumer.entitlement.skype.com,"sconsentit9.trafficmanager.net,sconsentit911.cloudapp.net,40.114.211.99","2664.000000,217.000000,4.000000"
2020-09-02 14:36:22.274373055,C75cPW3vatNf78megh,55111,43772,0.000852,static-asm.secure.skypeassets.com,"1180c.wpc.azureedge.net,1180c.ec.azureedge.net,lb.apr-1180c.edgecastdns.net,hlb.apr-1180c-0.edgecastdns.net,cs10.wpc.v0cdn.net,68.232.34.200","2511.000000,289.000000,45.000000,147.000000,147.000000,2719.000000"
2020-09-02 14:36:34.709784985,C4gQIe1vyQDReuL7N5,46918,49401,0.009307,scontent.xx.fbcdn.net,157.240.30.27,54.000000
2020-09-02 14:36:34.712743998,CYIQJ40M1f5aBUaUe,48005,54641,0.012996,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.30.18","3519.000000,3250.000000,59.000000"
2020-09-02 14:36:56.005980015,CYOvl93xjh10LTGfv1,2921,10087,0.009277,scontent-prg1-1.xx.fbcdn.net,157.240.30.27,17.000000
2020-09-02 14:37:15.471138000,Cqg2kC3dSq5NXBj5D3,24569,8198,0.017441,android.googleapis.com,172.217.23.202,299.000000
2020-09-02 14:37:15.626343966,CWGjCKveaRJ3iOQT4,12915,32191,0.016861,lamssettings-pa.googleapis.com,172.217.23.234,299.000000
2020-09-02 14:37:34.022548914,CIus7m9I8DcRDgV03,27542,25156,0.000852,edge-mqtt.facebook.com,"mqtt.c10r.facebook.com,69.171.250.20","3473.000000,12.000000"
2020-09-02 14:38:48.422017097,CWApfN3UTvjGLZyJKl,19962,23724,0.011190,graph.facebook.com,"api.facebook.com,star.c10r.facebook.com,157.240.30.18","3385.000000,3479.000000,59.000000"
2020-09-02 14:38:50.206635952,CGolb645kmwKxfZxt7,13900,19581,0.011724,i.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,59.000000"
2020-09-02 14:38:50.940470934,CXDHlA1iGWzdQS7LIc,27862,31135,0.010512,graph.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3298.000000,59.000000"
2020-09-02 14:38:52.271037102,CmwWGt1PO1uaGODfjd,14443,6986,0.016970,android-safebrowsing.google.com,"sb.l.google.com,216.58.201.110","21599.000000,299.000000"
2020-09-02 14:38:52.865408897,CYEFZr4yOdql0M1oO6,25502,21721,0.009222,connectivitycheck.gstatic.com,216.58.201.99,241.000000
2020-09-02 14:38:52.913239956,C9vurc2Yk07T7yT3G8,15204,8620,0.028430,infinitedata-pa.googleapis.com,216.58.201.106,299.000000
2020-09-02 14:38:53.745862007,CgEcRA4GoAPDj01OAf,15257,882,0.009246,www.googleapis.com,"172.217.23.234,216.58.201.74,216.58.201.106,172.217.23.202","239.000000,239.000000,239.000000,239.000000"
2020-09-02 14:39:22.886799097,CCPThQ3CvFqPeFA8Pc,25335,13377,0.009104,android.clients.google.com,"android.l.google.com,172.217.23.206,172.217.23.238,216.58.201.78,216.58.201.110","276.000000,276.000000,276.000000,276.000000,276.000000"
2020-09-02 14:40:50.356704950,CLo4FPSWnPif3c3Rl,44385,51393,0.014595,graph.instagram.com,"instagram.c10r.facebook.com,157.240.30.63","3599.000000,59.000000"
2020-09-02 14:41:18.374965906,CzTA7g1DFXI1KTshme,36344,52982,0.017112,mtalk.google.com,"mobile-gtalk.l.google.com,74.125.71.188","21389.000000,299.000000"
2020-09-02 14:45:09.493365049,CYdtPZ1B0XClu1s6oa,4562,22293,0.009127,play.googleapis.com,216.58.201.74,194.000000
2020-09-02 15:01:19.644319057,CGfv3P0afmXNki794,59173,44804,0.000873,global.glbtls.t.co,34.102.215.127,527.000000
2020-09-02 15:06:49.881388903,CxiOjp3VtpNSThvdS7,14121,28359,0.009203,app-measurement.com,216.58.201.78,227.000000
2020-09-02 15:06:50.076596975,CoAD3A1x63MSoQbbbj,26982,31007,0.009029,play.googleapis.com,172.217.23.234,236.000000
2020-09-02 15:13:09.389620066,ClA6P418lNNZe1ZeAa,45726,44240,0.009085,android.clients.google.com,"android.l.google.com,172.217.23.238,216.58.201.78,172.217.23.206","36.000000,279.000000,279.000000,279.000000"
2020-09-02 15:13:09.453067064,Cyw1E94W8FfeSPczJk,60718,64687,0.018982,android.googleapis.com,216.58.201.74,299.000000
2020-09-02 15:13:39.478319883,C0jMGu1frh9ei1Wmqc,60710,48649,0.009136,people-pa.googleapis.com,216.58.201.106,247.000000
2020-09-02 15:17:56.417140961,COs0MF2BvtxqwwWZBl,16281,23329,0.009862,people-pa.googleapis.com,216.58.201.106,248.000000
2020-09-02 15:26:19.691025019,CovR8F24TUZtn0RYGj,1075,36482,0.009263,global.glbtls.t.co,34.102.215.127,576.000000
2020-09-02 15:27:20.297641993,Cj4sBHa0s2uYpSCc3,62139,55808,0.000865,api.twitter.com,"tpop-api.twitter.com,104.244.42.66,104.244.42.130,104.244.42.2,104.244.42.194","1793.000000,1793.000000,1793.000000,1793.000000,1793.000000"
